username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,news_id,user_id,rating,rating2,recommended,position,mystery,y_for,y_fact
lelrad,0,2023-11-27 16:45:46,2023-12-04 18:26:35,255,0,27,man,5,2,2.0,1.0,28.0,56.0,,57.0,-1.0,1.0,-1.0,,1,2,2,306,407595,306,3.0,2.0,0,2,0.0,1.0,1.0
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,408132,86,5.0,2.5,0,2,0.0,1.0,1.0
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,408358,86,4.0,0.5,0,4,1.0,0.92,0.875
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,407715,86,3.5,2.0,0,4,1.0,1.0,1.0
jgglnh,1,2023-11-27 15:32:22,2023-12-03 08:08:03,255,0,61,man,2,2,3.0,2.0,14.0,57.0,,57.0,-1.0,1.0,-1.0,,3,3,3,277,407715,277,3.0,4.0,1,6,0.0,1.0,1.0
sciiqg,0,2023-11-27 16:31:38,2023-12-04 11:53:16,255,0,65,vrouw,2,2,1.0,0.0,20.0,57.0,,53.0,0.0,1.0,2.0,,0,1,0,303,407715,303,2.0,1.0,0,0,0.0,1.0,1.0
naoruw,0,2023-11-28 10:02:13,2023-12-05 19:00:09,255,0,29,man,3,1,3.0,-1.0,14.0,96.0,,68.0,1.0,1.0,-1.0,58.0,1,2,-1,331,407715,331,4.0,4.0,0,1,0.0,1.0,1.0
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,408189,86,3.0,3.0,0,0,0.0,1.0,1.0
lihmqp,0,2023-11-24 17:30:50,2023-12-03 10:16:29,255,0,53,vrouw,3,1,2.0,1.0,14.0,115.0,,100.0,-3.0,0.0,1.0,1.0,0,-1,0,147,408189,147,3.0,1.0,0,0,0.0,1.0,1.0
naoruw,0,2023-11-28 10:02:13,2023-12-05 19:00:09,255,0,29,man,3,1,3.0,-1.0,14.0,96.0,,68.0,1.0,1.0,-1.0,58.0,1,2,-1,331,408189,331,0.5,0.5,0,1,0.0,1.0,1.0
anltjr,1,2023-11-28 11:10:19,2023-12-12 10:48:36,255,0,61,man,4,3,-2.0,-2.0,14.0,70.0,,70.0,-3.0,1.0,-3.0,,3,3,3,332,408189,332,2.5,2.5,1,0,0.0,1.0,1.0
lygoze,1,2023-11-28 18:50:30,2023-12-09 08:51:35,255,0,62,man,4,2,1.0,2.0,14.0,88.0,,80.0,0.0,0.0,2.0,5.0,2,2,2,364,408189,364,5.0,5.0,1,0,0.0,1.0,1.0
xrttmd,0,2023-11-29 08:09:36,2023-11-30 09:37:25,1,0,60,vrouw,4,0,,,2.0,40.0,,41.0,,,,,0,2,0,375,408189,375,2.0,1.0,0,2,0.0,1.0,1.0
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,407909,86,5.0,4.5,0,4,1.0,0.9791666666666666,0.9347826086956522
rggnuk,1,2023-11-28 17:39:45,2023-12-14 11:00:17,255,0,40,man,5,3,-1.0,2.0,26.0,83.0,,81.0,-1.0,1.0,2.0,0.0,2,3,2,360,407909,360,5.0,4.5,1,1,0.0,0.9791666666666666,0.9347826086956522
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,408293,86,3.5,3.0,0,0,0.0,0.875,1.0
mklbyo,0,2023-11-24 18:38:37,2023-12-05 14:24:02,255,0,58,man,2,3,3.0,2.0,18.0,69.0,,70.0,0.0,1.0,3.0,,3,3,0,178,408293,178,3.5,2.5,0,5,0.0,0.875,1.0
zfdarg,0,2023-11-24 18:49:45,2023-12-06 20:17:12,255,0,29,man,4,3,3.0,1.0,14.0,65.0,,55.0,-2.0,0.0,-1.0,0.0,3,3,3,179,408293,179,5.0,5.0,0,3,0.0,0.875,1.0
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,407611,86,4.0,2.5,0,0,0.0,1.0,1.0
efocwy,1,2023-11-24 16:34:19,2023-12-01 14:26:08,255,0,25,man,4,3,3.0,2.0,16.0,54.0,,55.0,0.0,1.0,2.0,0.0,3,2,0,95,407611,95,5.0,3.0,0,4,1.0,1.0,1.0
wmtild,1,2023-11-28 07:13:14,2024-01-10 18:03:21,255,0,61,vrouw,2,2,1.0,1.0,14.0,59.0,,63.0,-3.0,1.0,1.0,,2,2,0,328,407611,328,5.0,5.0,0,5,0.0,1.0,1.0
xrttmd,0,2023-11-29 08:09:36,2023-11-30 09:37:25,1,0,60,vrouw,4,0,,,2.0,40.0,,41.0,,,,,0,2,0,375,407611,375,3.0,2.5,0,4,1.0,1.0,1.0
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,408093,86,3.0,5.0,0,0,0.0,1.0,0.8
emxdxd,0,2023-11-27 20:50:59,2023-12-04 16:57:50,255,0,37,vrouw,4,3,1.0,1.0,12.0,64.0,,73.0,1.0,1.0,1.0,,3,2,3,323,408093,323,5.0,5.0,0,2,0.0,1.0,0.8
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,408420,86,3.5,0.5,0,4,1.0,0.9166666666666666,0.8333333333333334
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406383,89,0.5,0.5,0,0,0.0,0.7142857142857143,0.8333333333333334
plkqbh,1,2023-11-24 20:00:38,2023-11-30 02:46:02,255,0,34,niet-binair/anders,3,3,2.0,1.0,22.0,55.0,,60.0,-2.0,0.0,0.0,54.0,3,2,2,197,406383,197,5.0,5.0,1,2,0.0,0.7142857142857143,0.8333333333333334
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406400,89,0.5,0.5,0,0,0.0,0.3333333333333333,1.0
tdncxg,1,2023-11-24 20:59:19,2023-12-06 16:32:39,255,0,54,vrouw,3,3,-1.0,-1.0,16.0,108.0,,89.0,-3.0,1.0,1.0,3.0,2,2,-3,205,406400,205,4.5,4.5,1,2,0.0,0.3333333333333333,1.0
ezjynv,1,2023-11-24 21:55:38,2023-12-08 19:31:26,255,0,55,man,2,3,-1.0,2.0,4.0,86.0,,60.0,-2.0,1.0,0.0,,3,3,3,216,406400,216,5.0,3.0,1,0,0.0,0.3333333333333333,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406565,89,0.5,0.5,0,1,0.0,0.2352941176470588,0.5384615384615384
widrxo,0,2023-11-24 17:51:10,2023-12-03 17:32:34,255,0,66,vrouw,4,3,1.0,1.0,26.0,77.0,,74.0,-3.0,0.0,2.0,,2,3,0,158,406565,158,3.0,4.0,0,6,0.0,0.2352941176470588,0.5384615384615384
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406292,89,0.5,0.5,0,4,1.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406670,89,0.5,1.0,0,1,0.0,0.6875,0.6875
zhllwy,0,2023-11-24 17:53:51,2023-12-02 06:05:17,255,0,39,vrouw,3,2,3.0,2.0,14.0,136.0,,128.0,0.0,0.0,1.0,1.0,2,2,2,159,406670,159,2.0,4.0,0,3,0.0,0.6875,0.6875
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406470,89,3.5,0.5,0,5,0.0,1.0,0.875
srhmmy,1,2023-11-24 16:35:20,2023-11-30 17:06:20,255,0,40,vrouw,4,-1,1.0,0.0,16.0,84.0,,79.0,1.0,1.0,-1.0,,-2,0,0,100,406470,100,4.0,3.0,1,1,0.0,1.0,0.875
ainsxk,1,2023-11-24 17:54:42,2023-11-30 08:55:21,255,0,43,vrouw,5,1,-3.0,-2.0,24.0,46.0,,48.0,0.0,1.0,-3.0,,1,1,0,161,406470,161,3.0,1.0,1,8,0.0,1.0,0.875
zfdarg,0,2023-11-24 18:49:45,2023-12-06 20:17:12,255,0,29,man,4,3,3.0,1.0,14.0,65.0,,55.0,-2.0,0.0,-1.0,0.0,3,3,3,179,406470,179,5.0,5.0,0,1,0.0,1.0,0.875
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406477,89,4.0,1.0,0,0,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406966,89,1.0,1.0,0,5,0.0,0.6,1.0
