news_id,y_for,y_fact
45213,1.0,1.0
45214,1.0,1.0
45215,1.0,1.0
45216,0.8421052631578947,1.0
45217,1.0,1.0
45218,1.0,1.0
45219,0.8,0.7941176470588235
45220,0.7592592592592593,0.9433962264150944
45221,1.0,1.0
45222,1.0,1.0
45223,1.0,0.8888888888888888
45224,0.9090909090909091,1.0
45225,0.8181818181818182,0.8604651162790697
45226,0.9411764705882353,0.9791666666666666
45227,0.8666666666666667,0.8666666666666667
45228,1.0,1.0
45229,1.0,1.0
45230,1.0,1.0
45231,1.0,1.0
45232,1.0,1.0
45233,1.0,0.9142857142857143
45234,0.8,0.8888888888888888
45235,1.0,0.896551724137931
45236,1.0,1.0
45237,0.9333333333333333,0.8
45238,0.9696969696969697,0.78125
45239,1.0,0.6666666666666666
45240,0.9565217391304348,0.8260869565217391
45241,1.0,0.9230769230769231
45242,1.0,0.9512195121951219
45243,1.0,0.9375
45244,1.0,1.0
45245,0.9285714285714286,0.9285714285714286
45246,0.9444444444444444,1.0
45247,1.0,0.8
45248,0.967741935483871,0.967741935483871
45249,1.0,1.0
45250,0.9411764705882353,0.8235294117647058
45251,1.0,1.0
45252,1.0,1.0
45253,1.0,1.0
45254,1.0,1.0
45255,0.75,1.0
45256,1.0,1.0
45257,1.0,1.0
45258,0.7142857142857143,0.7142857142857143
45259,0.5,0.5
45260,1.0,1.0
45261,0.625,1.0
45262,1.0,1.0
45263,0.9148936170212766,0.8571428571428571
45264,1.0,0.8253968253968254
45265,0.9487179487179487,0.7631578947368421
45266,0.9354838709677419,0.6129032258064516
45267,0.9819819819819819,0.8584905660377359
45268,0.9295774647887324,0.7424242424242424
45269,0.8809523809523809,0.8432835820895522
45270,0.9902912621359223,0.9183673469387755
45271,0.987012987012987,0.8947368421052632
45272,1.0,0.875
45273,0.8620689655172413,0.896551724137931
45274,0.9302325581395349,0.8048780487804879
45275,0.8928571428571429,0.9230769230769231
45276,0.5294117647058824,0.75
45277,0.6764705882352942,0.8333333333333334
45278,0.7307692307692307,0.9047619047619048
45279,0.8055555555555556,0.7575757575757576
45280,0.7352941176470589,0.8709677419354839
45281,0.88,0.96
45282,0.8214285714285714,0.8518518518518519
45283,0.8518518518518519,0.8076923076923077
45284,0.8695652173913043,0.9565217391304348
45285,0.47058823529411764,0.9411764705882353
45286,0.5,0.6666666666666666
45287,0.7317073170731707,0.7368421052631579
45288,0.35714285714285715,0.6153846153846154
45289,0.6428571428571429,0.7083333333333334
45290,0.6470588235294118,0.8235294117647058
