id,username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,date
88,uaqdvr,1,2023-11-24 16:31:22,2023-11-24 16:34:22,1,0,55,man,0,3,,,2.0,10.0,,10.0,,,,,3,2,-3,1
89,xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,8
90,mpmrve,0,2023-11-24 16:32:50,2023-12-03 12:34:24,255,0,37,vrouw,5,2,3.0,1.0,16.0,54.0,,56.0,-1.0,1.0,1.0,0.0,1,1,2,8
92,lhconx,1,2023-11-24 16:33:07,2023-11-28 13:13:24,1,0,66,vrouw,2,2,,,4.0,14.0,,18.0,,,,1.0,1,1,-3,2
95,efocwy,1,2023-11-24 16:34:19,2023-12-01 14:26:08,255,0,25,man,4,3,3.0,2.0,16.0,54.0,,55.0,0.0,1.0,2.0,0.0,3,2,0,7
97,xeddgy,0,2023-11-24 16:34:28,2023-12-04 03:41:16,1,0,42,vrouw,4,3,,,14.0,25.0,,32.0,,,,0.0,2,2,2,9
98,yvknjg,0,2023-11-24 16:34:51,2023-11-24 16:34:51,1,0,47,man,2,2,,,2.0,2.0,,2.0,,,,1.0,1,1,1,1
99,dwzgiy,1,2023-11-24 16:35:04,2023-11-24 16:35:04,1,0,55,vrouw,4,3,,,2.0,9.0,,10.0,,,,,3,3,1,1
100,srhmmy,1,2023-11-24 16:35:20,2023-11-30 17:06:20,255,0,40,vrouw,4,-1,1.0,0.0,16.0,84.0,,79.0,1.0,1.0,-1.0,,-2,0,0,7
101,gkjqza,0,2023-11-24 16:35:21,2023-11-27 16:27:12,1,0,51,man,3,3,,,6.0,34.0,,33.0,,,,,3,2,0,3
102,fxwruv,0,2023-11-24 16:35:21,2023-12-01 17:22:29,1,0,74,man,4,3,,,10.0,91.0,,76.0,,,,,2,3,1,7
104,msaazx,1,2023-11-24 16:35:46,2023-11-29 06:34:43,1,0,47,vrouw,4,3,,,12.0,20.0,,20.0,,,,2.0,3,2,2,6
106,lxegrq,0,2023-11-24 16:37:44,2023-12-08 17:12:11,255,0,77,man,2,3,3.0,2.0,12.0,79.0,,82.0,-3.0,0.0,2.0,,2,1,-1,7
108,gaiovm,1,2023-11-24 16:39:04,2023-12-02 09:32:17,255,0,50,man,4,2,0.0,-1.0,10.0,145.0,,124.0,1.0,1.0,-2.0,1.0,1,2,1,10
