id,username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,date
251,eqrjxm,0,2023-11-25 05:30:49,2023-12-06 13:14:59,255,0,29,man,3,2,2.0,2.0,18.0,55.0,,58.0,-3.0,0.0,0.0,,2,2,1,8
254,oofhxr,0,2023-11-25 06:50:20,2023-11-30 15:08:55,1,0,65,vrouw,1,3,,,14.0,64.0,,64.0,,,,,2,1,-1,5
256,njewvm,1,2023-11-25 07:28:47,2023-12-04 13:14:21,255,0,62,man,2,2,0.0,2.0,8.0,77.0,,72.0,1.0,0.0,-1.0,,2,2,0,8
257,zjxjga,1,2023-11-25 08:28:10,2023-12-05 07:16:31,255,0,70,vrouw,2,2,3.0,1.0,12.0,162.0,,55.0,1.0,1.0,0.0,,0,1,-3,5
262,mpnwtc,0,2023-11-25 08:49:17,2023-12-08 16:08:07,255,0,56,man,3,1,1.0,1.0,28.0,42.0,,15.0,-1.0,1.0,1.0,,1,3,2,1
263,igiyrm,0,2023-11-25 08:50:23,2023-12-06 19:12:39,255,0,46,man,2,0,2.0,1.0,24.0,49.0,,15.0,0.0,0.0,2.0,,1,1,3,1
264,knlqua,1,2023-11-25 08:53:39,2023-12-08 15:57:04,255,0,52,man,4,3,1.0,1.0,28.0,44.0,,15.0,1.0,1.0,0.0,,3,3,3,1
265,vbutku,1,2023-11-25 08:55:37,2023-12-04 14:47:22,1,0,57,man,4,3,,,6.0,6.0,,6.0,,,,,3,3,0,2
266,rabfya,0,2023-11-25 08:56:15,2023-12-06 04:25:45,255,0,22,man,4,2,1.0,1.0,26.0,44.0,,15.0,1.0,0.0,1.0,,2,2,0,1
267,jtptzr,0,2023-11-25 08:57:31,2023-12-06 01:09:31,255,0,36,man,3,2,2.0,2.0,18.0,52.0,,31.0,1.0,0.0,1.0,,0,2,0,3
268,jxhvha,1,2023-11-25 08:59:15,2023-12-07 02:19:46,255,0,44,man,4,0,-2.0,-1.0,28.0,44.0,,15.0,1.0,0.0,0.0,,0,1,2,1
269,donulw,1,2023-11-25 09:02:49,2023-12-06 19:11:46,255,0,24,vrouw,2,2,1.0,1.0,22.0,51.0,,30.0,1.0,1.0,2.0,0.0,1,2,2,2
270,anphrp,0,2023-11-25 09:29:56,2023-12-05 08:17:51,1,0,67,vrouw,1,2,,,16.0,42.0,,46.0,,,,,1,2,1,11
271,xudknj,0,2023-11-27 15:26:58,2023-12-04 08:11:04,255,0,41,man,5,2,2.0,1.0,14.0,57.0,,62.0,1.0,0.0,-2.0,8.0,1,2,1,8
272,ggmszw,1,2023-11-27 15:28:11,2023-12-08 18:18:20,255,0,74,man,4,3,1.0,1.0,26.0,47.0,,50.0,-3.0,0.0,1.0,,3,3,1,11
273,kjqaeu,1,2023-11-27 15:28:58,2023-12-02 14:23:32,1,0,42,man,4,3,,,16.0,64.0,,39.0,,,,,3,3,0,5
274,mzmncw,0,2023-11-27 15:29:26,2023-12-14 10:47:57,255,0,22,vrouw,4,2,-1.0,0.0,6.0,71.0,,31.0,-1.0,0.0,-3.0,,2,2,2,7
276,yzbktn,1,2023-11-27 15:30:51,2023-12-07 22:33:46,1,0,77,vrouw,5,3,,,6.0,54.0,,39.0,,,,0.0,3,2,2,3
277,jgglnh,1,2023-11-27 15:32:22,2023-12-03 08:08:03,255,0,61,man,2,2,3.0,2.0,14.0,57.0,,57.0,-1.0,1.0,-1.0,,3,3,3,7
279,azubyo,0,2023-11-27 15:32:56,2023-12-04 13:44:00,255,0,38,vrouw,4,3,-1.0,2.0,14.0,95.0,,97.0,-2.0,1.0,-1.0,0.0,3,2,1,7
280,wqoycq,1,2023-11-27 15:33:31,2023-11-29 07:53:02,1,0,58,vrouw,3,1,,,4.0,37.0,,30.0,,,,,1,1,-3,2
283,zlfwpl,0,2023-11-27 15:44:25,2023-11-30 21:17:54,1,0,39,man,3,2,,,8.0,5.0,,5.0,,,,,1,1,1,3
284,ijwhvg,1,2023-11-27 15:45:35,2023-11-27 15:45:35,1,0,49,vrouw,4,3,,,2.0,4.0,,7.0,,,,,0,0,-3,1
285,suvumz,1,2023-11-27 15:49:08,2023-12-04 08:52:54,255,0,49,vrouw,3,-3,3.0,0.0,16.0,54.0,,53.0,0.0,1.0,1.0,,-3,0,0,7
286,ouhain,0,2023-11-27 15:50:15,2023-11-28 11:28:31,1,0,69,man,4,2,,,4.0,79.0,,76.0,,,,,2,2,1,13
287,qqffkl,0,2023-11-27 15:52:27,2023-11-30 08:06:45,1,0,66,vrouw,3,3,,,4.0,25.0,,28.0,,,,2.0,2,1,-2,4
288,yljkby,1,2023-11-27 15:53:54,2023-11-30 07:53:53,1,0,40,man,5,3,,,4.0,9.0,,9.0,,,,1.0,0,0,0,3
291,blauzm,0,2023-11-27 15:58:53,2023-12-07 12:40:01,255,0,68,man,1,2,2.0,2.0,16.0,70.0,,69.0,-3.0,0.0,1.0,,2,2,0,7
296,gjckto,1,2023-11-27 16:17:10,2023-12-04 07:28:09,1,0,52,man,4,3,,,10.0,11.0,,12.0,,,,,3,3,2,4
298,blyjaa,0,2023-11-27 16:20:23,2023-12-07 11:37:23,255,0,60,vrouw,5,2,1.0,1.0,12.0,58.0,,62.0,2.0,1.0,0.0,,2,2,0,7
299,yuauyg,0,2023-11-27 16:20:59,2023-12-06 06:07:49,255,0,25,man,4,3,2.0,2.0,10.0,66.0,,55.0,0.0,1.0,1.0,9.0,2,1,2,6
300,mqubxi,1,2023-11-27 16:24:49,2023-12-05 20:20:32,255,0,48,man,4,2,3.0,2.0,30.0,43.0,,44.0,1.0,1.0,1.0,8.0,2,2,1,9
303,sciiqg,0,2023-11-27 16:31:38,2023-12-04 11:53:16,255,0,65,vrouw,2,2,1.0,0.0,20.0,57.0,,53.0,0.0,1.0,2.0,,0,1,0,6
304,iyqkch,1,2023-11-27 16:43:17,2023-12-29 11:57:35,1,0,69,man,3,2,,,8.0,116.0,,65.0,,,,,2,2,-1,4
306,lelrad,0,2023-11-27 16:45:46,2023-12-04 18:26:35,255,0,27,man,5,2,2.0,1.0,28.0,56.0,,57.0,-1.0,1.0,-1.0,,1,2,2,7
310,rirism,0,2023-11-27 17:18:27,2023-12-11 12:25:50,1,0,59,vrouw,4,2,,,4.0,70.0,,78.0,,,,0.0,0,2,-2,10
311,hafydx,0,2023-11-27 17:19:58,2023-12-09 07:31:46,255,0,35,vrouw,5,2,-2.0,1.0,16.0,55.0,,56.0,-3.0,1.0,-3.0,,1,2,1,7
313,sskuvr,1,2023-11-27 17:44:18,2023-12-03 08:55:34,255,0,27,vrouw,3,0,-1.0,1.0,24.0,66.0,,69.0,-3.0,0.0,0.0,5.0,-1,1,-1,7
315,xaipbm,0,2023-11-27 17:51:37,2023-12-10 11:18:06,255,0,79,man,4,3,3.0,1.0,8.0,90.0,,133.0,-1.0,1.0,1.0,168.0,3,2,1,11
316,gsxhtz,1,2023-11-27 18:10:31,2023-12-08 18:25:53,1,0,60,man,4,2,,,14.0,47.0,,45.0,,,,,0,1,0,8
319,dxglnh,0,2023-11-27 18:28:52,2023-12-04 08:51:55,1,0,42,man,3,0,,,14.0,17.0,,17.0,,,,,-1,0,-1,7
320,ueoeel,1,2023-11-27 19:00:46,2023-12-21 14:24:24,255,0,31,man,5,2,1.0,0.0,8.0,70.0,,36.0,-1.0,1.0,-2.0,,3,3,2,6
321,prpahh,1,2023-11-27 19:19:43,2023-12-13 11:08:46,255,0,65,man,2,3,-1.0,2.0,28.0,46.0,,49.0,-1.0,1.0,-1.0,1.0,3,3,2,14
322,spugxu,0,2023-11-27 19:29:49,2023-12-03 10:26:11,255,0,64,vrouw,5,3,3.0,0.0,16.0,56.0,,38.0,-1.0,1.0,1.0,1.0,3,3,0,7
323,emxdxd,0,2023-11-27 20:50:59,2023-12-04 16:57:50,255,0,37,vrouw,4,3,1.0,1.0,12.0,64.0,,73.0,1.0,1.0,1.0,,3,2,3,8
325,oivdic,1,2023-11-27 21:51:21,2023-12-28 21:23:10,1,0,67,man,2,3,,,18.0,51.0,,51.0,,,,,3,3,2,9
327,jbfycq,0,2023-11-28 03:32:26,2023-12-19 02:37:13,255,0,46,vrouw,3,1,3.0,0.0,8.0,62.0,,64.0,0.0,0.0,-2.0,,-3,1,-3,22
328,wmtild,1,2023-11-28 07:13:14,2024-01-10 18:03:21,255,0,61,vrouw,2,2,1.0,1.0,14.0,59.0,,63.0,-3.0,1.0,1.0,,2,2,0,11
330,ovnapw,0,2023-11-28 09:41:39,2023-12-04 10:58:08,255,0,66,man,5,3,3.0,1.0,10.0,65.0,,64.0,1.0,0.0,1.0,,2,2,1,7
331,naoruw,0,2023-11-28 10:02:13,2023-12-05 19:00:09,255,0,29,man,3,1,3.0,-1.0,14.0,96.0,,68.0,1.0,1.0,-1.0,58.0,1,2,-1,8
332,anltjr,1,2023-11-28 11:10:19,2023-12-12 10:48:36,255,0,61,man,4,3,-2.0,-2.0,14.0,70.0,,70.0,-3.0,1.0,-3.0,,3,3,3,6
334,nydygn,0,2023-11-28 15:00:35,2023-12-10 20:50:15,255,0,23,man,3,2,3.0,0.0,16.0,54.0,,61.0,-2.0,1.0,-1.0,3.0,1,1,1,7
337,yfefqm,1,2023-11-28 15:02:25,2023-11-28 17:23:49,255,0,45,man,2,3,1.0,1.0,4.0,66.0,,62.0,-2.0,0.0,-2.0,,1,2,-2,10
338,plmbuv,0,2023-11-28 15:04:22,2023-12-04 07:34:24,255,0,42,vrouw,3,3,3.0,1.0,20.0,59.0,,58.0,-3.0,1.0,2.0,0.0,2,1,-3,6
339,vojbgb,0,2023-11-28 15:06:52,2023-12-19 20:28:09,255,0,55,man,3,3,3.0,0.0,8.0,65.0,,50.0,0.0,1.0,-3.0,,1,1,0,7
340,qxqoug,1,2023-11-28 15:09:41,2023-12-06 18:52:44,255,0,37,vrouw,4,3,3.0,2.0,12.0,58.0,,58.0,-2.0,1.0,3.0,0.0,1,1,1,7
344,kdmzke,1,2023-11-28 15:14:43,2023-11-28 15:14:43,1,0,61,man,5,2,,,2.0,8.0,,9.0,,,,,2,2,3,1
345,rturbh,1,2023-11-28 15:16:40,2023-12-08 13:56:01,255,0,27,man,3,2,1.0,-2.0,28.0,85.0,,86.0,-2.0,0.0,-3.0,10.0,1,2,-2,9
347,mojdpn,0,2023-11-28 15:30:56,2023-12-04 12:09:56,1,0,26,man,4,2,,,4.0,61.0,,24.0,,,,0.0,3,3,3,2
349,blbxjd,1,2023-11-28 15:33:49,2023-12-19 08:13:26,255,0,48,man,3,2,-3.0,-3.0,4.0,66.0,,67.0,3.0,0.0,-3.0,0.0,2,2,0,7
354,hzywmw,0,2023-11-28 16:42:38,2023-11-28 16:42:38,255,0,68,vrouw,3,3,3.0,3.0,2.0,70.0,,59.0,2.0,1.0,1.0,,3,3,1,11
355,wtdkoq,0,2023-11-28 16:52:27,2023-12-05 10:42:04,255,0,77,man,5,3,1.0,0.0,10.0,78.0,,77.0,-2.0,1.0,0.0,,3,2,3,8
356,oxugxs,1,2023-11-28 16:53:31,2023-12-12 11:11:04,1,0,54,vrouw,3,1,,,4.0,27.0,,29.0,,,,,1,1,-1,4
359,rbfzfb,0,2023-11-28 17:37:34,2023-12-10 10:39:20,1,0,47,vrouw,4,2,,,12.0,76.0,,48.0,,,,1.0,2,3,2,9
360,rggnuk,1,2023-11-28 17:39:45,2023-12-14 11:00:17,255,0,40,man,5,3,-1.0,2.0,26.0,83.0,,81.0,-1.0,1.0,2.0,0.0,2,3,2,11
363,bqbhgl,0,2023-11-28 18:50:00,2023-12-04 09:26:44,255,0,64,vrouw,3,1,-1.0,-1.0,24.0,64.0,,57.0,-2.0,0.0,-2.0,,1,1,-1,6
364,lygoze,1,2023-11-28 18:50:30,2023-12-09 08:51:35,255,0,62,man,4,2,1.0,2.0,14.0,88.0,,80.0,0.0,0.0,2.0,5.0,2,2,2,7
366,olpqlg,0,2023-11-28 19:13:37,2023-12-10 14:51:45,1,0,65,man,4,2,,,10.0,9.0,,11.0,,,,,2,1,-3,5
368,xwnano,1,2023-11-28 20:00:27,2023-12-06 10:13:59,255,0,37,man,4,3,1.0,2.0,10.0,73.0,,75.0,-3.0,1.0,-1.0,,2,2,1,7
369,fjdsci,1,2023-11-28 20:10:38,2023-12-14 16:25:41,255,0,59,vrouw,3,0,3.0,1.0,14.0,58.0,,58.0,-2.0,0.0,1.0,24.0,0,1,0,11
370,jvasla,0,2023-11-28 20:24:37,2023-12-04 23:00:36,255,0,59,man,3,3,3.0,1.0,16.0,83.0,,81.0,1.0,1.0,1.0,0.0,2,2,0,7
372,pzbmcb,1,2023-11-29 05:53:16,2023-11-29 18:44:20,1,0,54,man,2,3,,,4.0,11.0,,11.0,,,,0.0,3,3,2,1
373,axllyj,1,2023-11-29 05:54:32,2023-12-26 21:48:32,255,0,30,vrouw,3,2,2.0,2.0,24.0,70.0,,64.0,1.0,0.0,2.0,,2,1,0,11
375,xrttmd,0,2023-11-29 08:09:36,2023-11-30 09:37:25,1,0,60,vrouw,4,0,,,2.0,40.0,,41.0,,,,,0,2,0,6
376,hbimlt,1,2023-11-29 11:10:44,2023-12-02 13:29:15,1,0,68,vrouw,3,2,,,4.0,18.0,,17.0,,,,,1,1,-3,2
378,lxdxfg,0,2023-11-29 17:36:35,2023-11-29 17:41:05,1,0,18,niet-binair/anders,0,1,,,2.0,3.0,,4.0,,,,,2,1,1,2
379,pjypgk,0,2023-11-29 18:24:55,2023-12-05 05:49:09,255,0,60,man,4,2,1.0,1.0,22.0,48.0,,48.0,-2.0,1.0,1.0,22.0,1,1,1,7
383,hfcxfh,0,2023-12-03 22:38:33,2023-12-03 22:38:33,1,0,63,vrouw,4,1,,,2.0,60.0,,61.0,,,,,1,1,-2,16
384,wnxalb,1,2023-12-04 14:11:21,2023-12-13 01:02:48,1,0,22,man,3,2,,,26.0,39.0,,42.0,,,,,2,0,-1,8
