username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,user_id,0.0,1.0,ratio,y_for,y_fact
odbwei,1,2023-11-24 16:43:41,2023-12-23 15:49:19,255,0,78,vrouw,4,2,-1.0,-2.0,18.0,52.0,,55.0,0.0,0.0,-2.0,,2,2,2,112,112,35.0,20.0,0.3636363636363636,0.2611788977080574,0.2224051944942698
vndcce,1,2023-11-24 16:50:44,2023-12-01 05:24:07,255,0,38,vrouw,4,3,-2.0,1.0,16.0,75.0,,76.0,-1.0,0.0,-1.0,,2,2,2,121,121,69.0,7.0,0.0921052631578947,0.1786538635283787,0.1379656851970898
fwuhah,1,2023-11-24 16:56:09,2023-12-01 15:19:14,255,0,32,vrouw,4,3,0.0,1.0,18.0,58.0,,59.0,-3.0,0.0,2.0,,3,2,2,125,125,49.0,8.0,0.1403508771929824,0.2410089807971719,0.1687402365415548
kciiso,0,2023-11-24 16:57:03,2023-12-04 12:57:50,255,0,32,vrouw,5,2,2.0,-1.0,16.0,65.0,,69.0,-1.0,1.0,-2.0,,1,-2,2,126,126,67.0,2.0,0.0289855072463768,0.2547739886703777,0.1426641022214668
eapxta,0,2023-11-24 16:59:41,2023-12-06 12:02:07,1,0,74,man,5,3,,,4.0,5.0,,11.0,,,,2.0,3,3,-3,130,130,8.0,3.0,0.2727272727272727,0.3577455232570085,0.2786833312076101
xmtftg,0,2023-11-24 17:00:10,2023-12-04 08:42:32,255,0,54,vrouw,2,3,2.0,1.0,18.0,68.0,,71.0,2.0,1.0,3.0,1.0,2,1,0,131,131,61.0,10.0,0.1408450704225352,0.3104460593208465,0.1516382938644277
cauvvr,1,2023-11-24 17:12:49,2023-12-02 19:03:51,255,0,24,vrouw,4,2,2.0,2.0,14.0,60.0,,50.0,2.0,0.0,0.0,33.0,1,1,1,136,136,42.0,20.0,0.3225806451612903,0.2483164181610825,0.1834717199303212
ocurac,1,2023-11-24 17:30:01,2023-12-02 07:00:39,255,0,37,vrouw,5,3,0.0,2.0,20.0,50.0,,49.0,-3.0,1.0,2.0,1.0,2,3,0,145,145,51.0,3.0,0.0555555555555555,0.2257973851483628,0.1161683279100241
lihmqp,0,2023-11-24 17:30:50,2023-12-03 10:16:29,255,0,53,vrouw,3,1,2.0,1.0,14.0,115.0,,100.0,-3.0,0.0,1.0,1.0,0,-1,0,147,147,127.0,4.0,0.0305343511450381,0.2363496149684873,0.1645234637173516
lmzovm,1,2023-11-24 17:44:10,2023-12-06 05:06:25,1,0,53,vrouw,3,2,,,12.0,16.0,,17.0,,,,,2,1,0,152,152,15.0,1.0,0.0625,0.2383176849040133,0.1878763587572559
pnvogs,0,2023-11-24 17:45:56,2023-12-02 08:42:36,255,0,54,vrouw,2,2,2.0,2.0,14.0,60.0,,61.0,3.0,0.0,2.0,,-3,0,0,154,154,48.0,13.0,0.2131147540983606,0.2696797531607146,0.1742372898270244
mseqqh,1,2023-11-24 17:48:55,2023-11-24 22:49:09,255,0,43,vrouw,4,1,-1.0,0.0,4.0,66.0,,48.0,-2.0,1.0,-3.0,0.0,1,0,0,156,156,52.0,11.0,0.1746031746031746,0.253577769802632,0.1678712644403108
widrxo,0,2023-11-24 17:51:10,2023-12-03 17:32:34,255,0,66,vrouw,4,3,1.0,1.0,26.0,77.0,,74.0,-3.0,0.0,2.0,,2,3,0,158,158,71.0,10.0,0.1234567901234567,0.2338142935375086,0.1253398745232483
